Display Name	Registry Name	Display Version	Registry Time	Install Date	Installed For	Install Location	Publisher	Uninstall String	Change Install String	Quiet Uninstall String	Comments	About URL	Update Info URL	Help Link	Install Source	Installer Name	Release Type	Display Icon Path	MSI Filename	Estimated Size	Attributes	Language	Parent Key Name	Registry Key
McAfee LiveSafe - Internet Security	MSC	12.8.414	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files\McAfee	McAfee, Inc.	C:\Program Files\McAfee\MSC\mcuihost.exe /body:misp://MSCJsRes.dll::uninstall.html /id:uninstall										C:\PROGRA~1\McAfee\MSC\\mscinres.dll						HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MSC	
TeamViewer 11	TeamViewer	11.0.59518	30.05.17 03:04		All Users (32-Bit)	C:\Program Files (x86)\TeamViewer	TeamViewer	C:\Program Files (x86)\TeamViewer\uninstall.exe						http://www.teamviewer.com				C:\Program Files (x86)\TeamViewer\TeamViewer.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TeamViewer

Веселая ферма 2	Веселая ферма 2	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5447	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5447\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5447\farm2.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Веселая ферма 2	
Веселая ферма 3	Веселая ферма 3	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5279	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5279\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5279\FarmFrenzy3.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Веселая ферма 3	
Герои Эллады 2. Олимпия	Герои Эллады 2. Олимпия	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5185	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5185\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5185\hoh2.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Герои Эллады 2. Олимпия	
Магическая энциклопедия. Лунный свет	Магическая энциклопедия. Лунный свет	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5273	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5273\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5273\magic2.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Магическая энциклопедия. Лунный свет	
Магнат курортов	Магнат курортов	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5173	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5173\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5173\VacationMogul.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Магнат курортов	
Масяня в полной Африке	Масяня в полной Африке	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\6011	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\6011\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\6011\MasyanyasAfricanAdventures.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Масяня в полной Африке	
Натали Брукс. Тайны одноклассников	Натали Брукс. Тайны одноклассников	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5354	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5354\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5354\NatalieBrooksMysteryAtHillcrestHigh.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Натали Брукс. Тайны одноклассников	
Сага о вампире. Добро пожаловать в Hell Lock	Сага о вампире. Добро пожаловать в Hell Lock	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5109	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5109\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5109\vshl.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Сага о вампире. Добро пожаловать в Hell Lock	
Сокровища Монтесумы 3	Сокровища Монтесумы 3	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games\My Games\5089	Alawar Entertainment Inc.	C:\Program Files (x86)\My Hp Games\My Games\5089\Uninstall.exe										C:\Program Files (x86)\My Hp Games\My Games\5089\TreasuresOfMontezuma3.exe			No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Сокровища Монтесумы 3	
Мои HP Игры	My HP Games	1.0.0.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\My Hp Games	Alawar Entertainment	C:\Program Files (x86)\My Hp Games\Uninstall.exe										C:\Program Files (x86)\My Hp Games\game.ico						HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\My HP Games	

Energy Star	{465CA2B6-98AF-4E77-BE22-A908C34BB9EC}	1.0.9	05.09.2018 19:43:25	05.09.2018	All Users (64-Bit)	c:\Program Files\Hewlett-Packard\Energy Star\	Hewlett-Packard Company	MsiExec.exe /I{465CA2B6-98AF-4E77-BE22-A908C34BB9EC}	MsiExec.exe /I{465CA2B6-98AF-4E77-BE22-A908C34BB9EC}	msiexec.exe /x {465CA2B6-98AF-4E77-BE22-A908C34BB9EC} /qn		http://www.hp.com			c:\SWSetup\APP\Applications\HP\EnergySta_66MAB2\1.00\src\	Windows Installer				3 478 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{465CA2B6-98AF-4E77-BE22-A908C34BB9EC}	
Energy Star	{FC0ADA4D-8FA5-4452-8AFF-F0A0BAC97EF7}	1.0.9	28.01.2014 17:49:02	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\Hewlett-Packard\Energy Star\	Hewlett-Packard Company	MsiExec.exe /I{FC0ADA4D-8FA5-4452-8AFF-F0A0BAC97EF7}	MsiExec.exe /I{FC0ADA4D-8FA5-4452-8AFF-F0A0BAC97EF7}	msiexec.exe /x {FC0ADA4D-8FA5-4452-8AFF-F0A0BAC97EF7} /qn		http://www.hp.com			C:\SWSetup\EngyStar\	Windows Installer				5 699 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FC0ADA4D-8FA5-4452-8AFF-F0A0BAC97EF7}	
HP Audio Switch	{BC852AA8-58F6-4F07-ACB1-7377E52CA4F3}	1.0.150.0	20.03.2017 3:33:25	20.03.2017	All Users (32-Bit)		HP Inc.	MsiExec.exe /I{BC852AA8-58F6-4F07-ACB1-7377E52CA4F3}	MsiExec.exe /I{BC852AA8-58F6-4F07-ACB1-7377E52CA4F3}	msiexec.exe /x {BC852AA8-58F6-4F07-ACB1-7377E52CA4F3} /qn					c:\SWSetup\APP\Applications\HP\HPAudioSw_PPL3B2\1.0.150.0\src\	Windows Installer				9�449 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{BC852AA8-58F6-4F07-ACB1-7377E52CA4F3}
HP Connected Music (Meridian - installer)	StartHPConnectedMusic	1.0	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files (x86)\HPConnectedMusic	Meridian Audio Ltd	"C:\Program Files (x86)\HPConnectedMusic\Uninstall.exe"				http://hpsupport.meridian-audio.com		http://hp.meridian-audio.com/hp/site/faq-en.php				C:\Program Files (x86)\HPConnectedMusic\icon.ico		608 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\StartHPConnectedMusic	
HP Documentation	{D82B396E-A647-4C81-9DA4-C61F7BB620EC}	1.1.0.0	28.01.2014 18:06:22	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\Hewlett-Packard\Documentation\	Hewlett-Packard	MsiExec.exe /X{D82B396E-A647-4C81-9DA4-C61F7BB620EC}	MsiExec.exe /X{D82B396E-A647-4C81-9DA4-C61F7BB620EC}	msiexec.exe /x {D82B396E-A647-4C81-9DA4-C61F7BB620EC} /qn	This installer database contains the logic and data required to install HP Documentation.				C:\SWSetup\HDocKP15\	Windows Installer				220 114 KB	No Modify, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D82B396E-A647-4C81-9DA4-C61F7BB620EC}	
