>DISM.exe /Online /Get-Features
Cистема DISM
Версия: 10.0.16299.15

Версия образа: 10.0.16299.64

Список компонентов для пакета : Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~10.0.16299.15


------------------------------------------- | ------------------------------------
Имя функции                                 | Состояние                           
------------------------------------------- | ------------------------------------
LegacyComponents                            | Отключен                            
DirectPlay                                  | Отключен                            
SimpleTCP                                   | Отключен                            
SNMP                                        | Отключен                            
WMISnmpProvider                             | Отключен                            
MicrosoftWindowsPowerShellV2Root            | Включен                             
MicrosoftWindowsPowerShellV2                | Включен                             
Windows-Identity-Foundation                 | Отключен                            
Microsoft-Windows-Subsystem-Linux           | Отключен                            
WorkFolders-Client                          | Включен                             
MediaPlayback                               | Включен                             
WindowsMediaPlayer                          | Включен                             
NetFx3                                      | Отключен с удалением полезных данных
IIS-WebServerRole                           | Отключен                            
IIS-WebServer                               | Отключен                            
IIS-CommonHttpFeatures                      | Отключен                            
IIS-HttpErrors                              | Отключен                            
IIS-HttpRedirect                            | Отключен                            
IIS-ApplicationDevelopment                  | Отключен                            
IIS-NetFxExtensibility                      | Отключен                            
IIS-NetFxExtensibility45                    | Отключен                            
IIS-HealthAndDiagnostics                    | Отключен                            
IIS-HttpLogging                             | Отключен                            
IIS-LoggingLibraries                        | Отключен                            
IIS-RequestMonitor                          | Отключен                            
IIS-HttpTracing                             | Отключен                            
IIS-Security                                | Отключен                            
IIS-URLAuthorization                        | Отключен                            
IIS-RequestFiltering                        | Отключен                            
IIS-IPSecurity                              | Отключен                            
IIS-Performance                             | Отключен                            
IIS-HttpCompressionDynamic                  | Отключен                            
IIS-WebServerManagementTools                | Отключен                            
IIS-ManagementScriptingTools                | Отключен                            
IIS-IIS6ManagementCompatibility             | Отключен                            
IIS-Metabase                                | Отключен                            
WAS-WindowsActivationService                | Отключен                            
WAS-ProcessModel                            | Отключен                            
WAS-NetFxEnvironment                        | Отключен                            
WAS-ConfigurationAPI                        | Отключен                            
IIS-HostableWebCore                         | Отключен                            
WCF-HTTP-Activation                         | Отключен                            
WCF-NonHTTP-Activation                      | Отключен                            
WCF-Services45                              | Включен                             
WCF-HTTP-Activation45                       | Отключен                            
WCF-TCP-Activation45                        | Отключен                            
WCF-Pipe-Activation45                       | Отключен                            
WCF-MSMQ-Activation45                       | Отключен                            
WCF-TCP-PortSharing45                       | Включен                             
IIS-StaticContent                           | Отключен                            
IIS-DefaultDocument                         | Отключен                            
IIS-DirectoryBrowsing                       | Отключен                            
IIS-WebDAV                                  | Отключен                            
IIS-WebSockets                              | Отключен                            
IIS-ApplicationInit                         | Отключен                            
IIS-ASPNET                                  | Отключен                            
IIS-ASPNET45                                | Отключен                            
IIS-ASP                                     | Отключен                            
IIS-CGI                                     | Отключен                            
IIS-ISAPIExtensions                         | Отключен                            
